"Disclaimer
",,,,,,,,,,,,
"
Esta ferramenta de diagnóstico ESG foi desenvolvida com base nas principais metodologias internacionais e nos temas mais relevantes para a indústria moveleira do Brasil e consiste em um autodiagnóstico onde a empresa responde com base nos dados que monitora e possui, sendo uma ferramenta de base para as empresas do setor moveleiro alcancem a vanguarda dos padrões de sustentabilidade exigidos mundialmente. 


O questionário de diagnóstico é formado por até 72 perguntas moduladas por porte da empresa e outras variáveis, que se dividem em 20 temas e 3 eixos principais: Ambiental, Social e Governança.


A mensuração de indicadores ESG atende à demanda global por padrões elevados de sustentabilidade e negócios mais responsáveis para a sociedade, clientes, investidores e o Planeta.

Ao utilizar esta plataforma de diagnóstico ESG, declaro que todas as informações fornecidas são verdadeiras, precisas e completas ao melhor de meu conhecimento. Comprometo-me a manter a rastreabilidade das evidências que suportam as respostas fornecidas, disponibilizando documentos e registros necessários para validar a precisão dos dados apresentados.

Entendo que a integridade dos dados é essencial para promover a sustentabilidade no setor moveleiro e reconheço que qualquer tentativa de fornecer informações falsas poderá resultar em medidas corretivas. Ao prosseguir, afirmo meu compromisso com a honestidade e a responsabilidade na comunicação dos dados ESG.

[ ] Eu concordo com os termos acima e confirmo que os dados fornecidos são verdadeiros e rastreáveis.


",,,,,,,,,,,,
DIMENSÃO,TEMA,,PERGUNTA,MENSAGEM,CONDICIONANTE,TEMA MATERIAL,PONTUAÇÃO,PESO,RELATÓRIO DE IMPACTO,DESTAQUES,,
FORM,IDENTIFICAÇÃO,1.1,Nome da Empresa,,,,,,,PONTOS FORTES,PONTOS FRACOS,RECOMENDAÇÕES
,,,[resposta curta],,,,1,1,RELATÓRIO DE IMPACTO,,,
,,1.2,CNPJ,,,,,,,,,
,,,[números],,,,1,1,RELATÓRIO DE IMPACTO,,,
,ESCOPO,1.3,Escopo da avaliação,,,,,,,,,
,,,[DATA] - [DATA],A nossa sugestão é que os dados informados correspondem ao último ano fiscal. Exemplo: Janeiro/2022 a Dezembro/2022.,,,1,1,RELATÓRIO DE IMPACTO,,,
,CATEGORIA,1.4,Setor,,,,,,,,,
,,1,Atacado/varejo,,,,,,,,,
,,2, Fabricação,,,,,,,,,
,,3,Serviço,,,,1,1,,,,
,,1.5,Tipo de Produto/Serviço,,,,,,,,,
,,1,Móveis em madeira,,,,1,1,,,,
,,2,Móveis Planejados,,,,1,1,,,,
,,3,Estofados,,,,1,1,,,,
,,4,Móveis de metal,,,,1,1,,,,
,,5,Outros.,,,,1,1,,,,
,,1.6,ATIVIDADE,,,,,,,,,
,,1,Design e fabricação,,,,1,1,,,,
,,2,Venda e distribuição,,,,1,1,,,,
,,3,E-commerce,,"* Abre a 1.6 a, b e c",,1,1,,,,
,,4,Outros.,,,,1,1,,,,
,,1.6 a,Sobre a segurança dos dados em seu ambiente digital.,,,,,,,,,
,,1,Não temos qualquer solução de segurança de dados.,,,,,,,,,
,,2,,,,,,,,,,
,,3,Description of policies and practices relating to targeted advertising and user privacy,,,,,,,,,
,,4,LGPD,,,,,,,,,
,,5,,,,,,,,,,
,,1.6 b,Embalagem.,,,,,,,,,
,,1,,,,,,,,,,
,,2,,,,,,,,,,
,,3,,,,,,,,,,
,,4,,,,,,,,,,
,,5,,,,,,,,,,
,,1.6 c,Distribuição.,,,,,,,,,
,,1,,,,,,,,,,
,,2,,,,,,,,,,
,,3,,,,,,,,,,
,,4,,,,,,,,,,
,,5,,,,,,,,,,
,,1.7,NÚMERO DE FUNCIONÁRIOS,,,,,,,,,
,,1,0 - 10 funcionários,Conhecer o porte da empresa é importante pois auxilia a mapear suas responsabilidades e compromissos com a comunidade. ,,,1,1,,,,
,,2,10 - 50 funcionários,,,,1,1,,,,
,,3,50 - 100 funcionários,,,,1,1,,,,
,,4,100 - 200 funcionários,,,,1,1,,,,
,,5,acima de 200 funcionários,,,,1,1,,,,
,SEDE E FILIAIS,1.8,CIDADE,,,,,,,,,
,,,[caixa de rolagem],,,,,,RELATÓRIO DE IMPACTO,,,
,,1.9,ESTADO,,,,,,,,,
,,,[caixa de rolagem],,,,,,RELATÓRIO DE IMPACTO,,,
,DADOS DEMOGRÁFICOS DE PROPRIEDADE,1.10,A empresa pertence a:,,,,,,,,,
,,1,Propriedade familiar,,,,1,1,,,,
,,2,Pertence a mulheres,,,,2,1,RELATÓRIO DE IMPACTO,,,
,,3,Pertence a pessoa LGBTQIAPN+,,,,3,1,RELATÓRIO DE IMPACTO,,,
,,4,Pertence a pessoa negra ou indígena,,,,4,1,RELATÓRIO DE IMPACTO,,,
,,5,Pessoa com deficiência,,,,5,1,RELATÓRIO DE IMPACTO,,,
