DIMENSÃO,TEMA,,PERGUNTA,TEMA MATERIAL,PONTUAÇÃO,PESO,POR QUE ISSO É IMPORTANTE?,RELATÓRIO DE IMPACTO,DESTAQUES,,
,9. DIREITOS HUMANOS,9.1,A empresa possui política ou compliance para evitar a ocorrência de violações de direitos humanos em sua cadeia de valor?,,,,,,PONTOS FORTES,PONTOS FRACOS,RECOMENDAÇÕES
,,,1) Não possuímos o compromisso formal com os direitos humanos.,SIM,1,"0,5","Os impactos relativos à violação de direitos humanos são o maior risco reputacional para uma empresa, na prática estamos falando de medidas como prevenção ao trabalho análogo à escravidão e ao trabalho infantil. As medidas positivas podem ser a contratação de imigrantes ou o apoio à alguma organização que o faça. ",,,,
,,,2) Possuímos em nossos documentos (compliance ou outros) a expressa menção ou mecanismos para evitar violações de direitos humanos.,SIM,2,"0,5",,,,,
,,,"3) Possuímos o compromisso com os direitos humanos em toda a nossa cadeia de valor, adotamos práticas responsáveis e exigimos o mesmo dos fornecedores.",SIM,3,1,,,,,
,,,4) Fazemos verificações periódicas sobre os riscos associados aos direitos humanos em nossa cadeia de valor.,SIM,4,2,,,,,
SOCIAL,,,"5) Possuimos elevados níveis de colaboração com a agenda dos direitos humanos, adotamos políticas práticas internas e colaborações de nivel global. ",SIM,5,2,,RELATÓRIO DE IMPACTO,,,
,,9.2,A empresa monitora os riscos socioambientais associados aos seus produtos na cadeia de valor?,,,,,,,,
,,,1) Não consideramos os riscos socioambientais em nossa cadeia de valor.,SIM,1,"0,5","Os impactos relativos à violação de direitos humanos são o maior risco reputacional para uma empresa, na prática estamos falando de medidas como prevenção ao trabalho análogo à escravidão e ao trabalho infantil. As medidas positivas podem ser a contratação de imigrantes ou o apoio à alguma organização que o faça. ",,,,
,,,"
2) Temos um mapeamento de riscos, mas não fiscalizamos.",SIM,2,"0,5",,,,,
,,,3) Temos um mapeamento de riscos e frequentemente fiscalizamos nossos fornecedores e empresas contratadas.,SIM,3,1,,,,,
,,,4) Exigimos que os nossos fornecedores e contratadas reportem suas práticas de prevenção à violação de direitos humanos.,SIM,4,2,,,,,
,,,"
5) Temos normas formais acerca da gestão dos riscos socioambientais em nossa cadeia de valor",SIM,5,2,,,,,
,,9.3,A empresa possui política de contratação de imigrantes ou de pessoas em situação de vulnerabilidade social?,,,,,,,,
,,,1) Não,,2,1,,,,,
,,,2) Sim,,5,1,,,,,
,10. PRÁTICAS TRABALHISTAS ,10.1,A empresa possui um manual do funcionário formalizado por escrito?,,,,,,,,
,,,1) A empresa não tem um manual do funcionário formalizado por escrito.,,1,1,,,,,
,,,"2) Apenas uma declaração de não discriminação e informações gerais sobre os horários de trabalho",,2,1,,,,,
,,,"3) Uma política contra o assédio com mecanismos de denúncia e processos e procedimentos disciplinares, medidas disciplinares e possíveis sanções",,3,1,,,,,
,,,"4) O manual do funcionário aborda além das questões anteriores políticas sobre questões de remuneração e desempenho, capacitação e licenças",,4,1,,,,,
,,,"5) O manual do funcionário é construido com a participação das partes interessadas, possui uma declaração de neutralidade sobre o direito dos trabalhadores à negociação coletiva e à liberdade de associação, além de regras sobre direitos humanos como a proibição do trabalho infantil e do trabalho forçado ou compulsório",,5,1,,,,,
,,10.2,Qual o percentual de trabalhadores são terceirizados?,,,,,,,,
,,,1) Mais de 70% da força de trabalho.,,1,1,,,,,
,,,2) Mais de 50% da força de trabalho.,,2,1,,,,,
,,,3) Menos de 50% da força de trabalho.,,3,1,,,,,
,,,"
4) Menos de 20% da força de trabalho.",,4,1,,,,,
,,,"


5) Não contratamos trabalhadores terceirizados.",,5,1,,,,,
,,10.3,Número de trabalhadores temporários no último ano fiscal?,,,,,,,,
,,,1) Mais de 70%,,1,1,,,,,
,,,2) Mais de 50%,,2,1,,,,,
,,,3) Menos de 50% ,,3,1,,,,,
,,,4) Menos de 20%,,4,1,,,,,
,,,5) Não contratam trabalhadores temporários.,,5,1,,,,,
,,10.4,A empresa oferece benefícios para aumentar a renda dos trabalhadores como a participação nos lucros e resultados ou acréscimo por produtividade. ,,,,,,,,
,,,1) Não,,5,1,,,,,
,,,2) Sim,,0,1,,,,,
,11. SAÚDE E SEGURANÇA,11.1,Quais os benefícios que a empresa oferece para complementar os benefícios governamentais?,,,,,,,,
,,,1) Cobertura por invalidez ou seguro contra acidentes.,,1,1,,,,,
,,,2) Seguro de vida.,,2,1,,,,,
,,,"
3) Seguro odontológico privado",,3,1,,,,,
,,,4) Seguro de saúde privado.,,4,1,,,,,
,,,"
5) Seguro de saúde privado complementar com extensão dos benefícios de saúde ao cônjuge e aos filhos",,5,1,,,,,
,,11.2,São feitas capacitações periódicas sobre o programa de saúde e segurança?,,,,,,,,
,,,1) Não há um programa formal de saúde e segurança,,1,1,,,,,
,,,"2) Fazemos capacitações em saúde e segurança para todos os trabalhadores, que inclua pelo menos uma simulação de emergência por ano.",,2,1,,,,,
,,,"3) Registramos e divulgamos os dados sobre lesões, acidentes, dias perdidos ou dias de ausência para todos os trabalhadores",,3,1,,,,,
,,,4) Possuímos um sistema formal de denúncia de questões de segurança para que os funcionários possam apresentar suas preocupações relacionadas à segurança,,4,1,,,,,
,,,"5) Existe uma comissão ou um funcionário responsável pela segurança ou um representante do programa de segurança que responda a um funcionário sênior (por exemplo, vice-presidente ou superior)
",,5,1,,,,,
,,11.3,Qual a política da empresa em relação à manipulação de substâncias ou equipamentos perigosos?,,,,,,,,
,,,1) Todos os trabalhadores são informados dos riscos associados ao manuseio de materiais perigosos.,,1,1,,,,,
,,,"2) A empresa exige que todos os trabalhadores que estão em contato com materiais perigosos usem equipamentos de proteção, incluindo roupas adequadas e proteção para os olhos e os pés.",,2,1,,,,,
,,,"
3) Todos os trabalhadores que estão em contato com materiais perigosos recebem capacitação inicial e continuada (pelo menos duas vezes por ano) relacionada ao armazenamento, manuseio e descarte adequados dos materiais.",,3,1,,,,,
,,,4) A empresa monitora a saúde de todos os funcionários que trabalham com materiais perigosos e fornece a eles check-ups de saúde anuais.,,4,1,,,,,
