,,,,,,,,DESTAQUES,,
TEMA,,PERGUNTA,COND.,TEMA MATERIAL,PONTOS,MENSAGEM,Relatório,PONTOS FORTES,PONTOS FRACOS,RECOMENDAÇÕES
Emissões de Carbono,2.1,Emissões de Carbono,,,,"Os indicadores de emissões de gases de efeito estufa (GEE) são cada vez mais relevantes para a gestão das organizações, assim como os indicadores financeiros. Conhecer, monitorar e reportar as emissões de carbono permite que empresas compreendam melhor seu impacto climático e identifiquem oportunidades de redução de emissões e eficiência operacional.",,,,
,1,Ainda não conhecemos nossas emissões de carbono,,,1,,Emissões de Carbono,,"Não realizar o inventário de emissões de gases de efeito estufa é um ponto fraco na gestão ambiental da organização, pois impede que a empresa conheça e compreenda seu impacto climático. Sem medir as emissões, torna-se difícil identificar oportunidades de redução, melhorar a eficiência operacional e estabelecer metas ambientais claras. Além disso, a ausência desse monitoramento pode reduzir a transparência da empresa diante de clientes, investidores e parceiros que cada vez mais valorizam práticas alinhadas à economia de baixo carbono.","Uma boa prática é realizar o Inventário de Emissões de Gases de Efeito Estufa, que consiste no levantamento e na quantificação das emissões geradas pelas atividades da organização, como consumo de energia, combustíveis, transporte, resíduos e outras operações.

Esse inventário geralmente segue metodologias reconhecidas internacionalmente, como o GHG Protocol, e considera diferentes fontes de emissão, organizadas em categorias como Escopo 1 (emissões diretas), Escopo 2 (energia adquirida) e Escopo 3 (outras emissões indiretas da cadeia de valor).

A partir desse diagnóstico, a organização pode estabelecer metas de redução de emissões, implementar ações de eficiência energética, reduzir sua pegada de carbono e contribuir para o enfrentamento das mudanças climáticas."
,2,"Não conhecemos nossas emissões, mas existem práticas internas de descarbonização das atividades",,,2,,,,"Não realizar o inventário de emissões de gases de efeito estufa é um ponto fraco na gestão ambiental da organização, pois impede que a empresa conheça e compreenda seu impacto climático. Sem medir as emissões, torna-se difícil identificar oportunidades de redução, melhorar a eficiência operacional e estabelecer metas ambientais claras. Além disso, a ausência desse monitoramento pode reduzir a transparência da empresa diante de clientes, investidores e parceiros que cada vez mais valorizam práticas alinhadas à economia de baixo carbono.","Uma boa prática é realizar o Inventário de Emissões de Gases de Efeito Estufa, que consiste no levantamento e na quantificação das emissões geradas pelas atividades da organização, como consumo de energia, combustíveis, transporte, resíduos e outras operações.

Esse inventário geralmente segue metodologias reconhecidas internacionalmente, como o GHG Protocol, e considera diferentes fontes de emissão, organizadas em categorias como Escopo 1 (emissões diretas), Escopo 2 (energia adquirida) e Escopo 3 (outras emissões indiretas da cadeia de valor).

A partir desse diagnóstico, a organização pode estabelecer metas de redução de emissões, implementar ações de eficiência energética, reduzir sua pegada de carbono e contribuir para o enfrentamento das mudanças climáticas."
,3,"Realizamos o nosso Inventário de Emissão de Gases de Efeito Estufa (GEE), mas ainda não possuímos metas.","*
abre a 2.1.A",,3,,,"Realizar o inventário de emissões de gases de efeito estufa é um ponto forte da gestão ambiental da organização, pois demonstra compromisso com a transparência, o monitoramento de impactos climáticos e a melhoria contínua do desempenho ambiental. Ao quantificar suas emissões, a empresa passa a compreender melhor sua pegada de carbono, podendo identificar oportunidades de redução, estabelecer metas climáticas e implementar ações mais eficientes rumo a uma economia de baixo carbono.",,"Manter o inventário de emissões de gases de efeito estufa atualizado e alinhado a metodologias reconhecidas, como o GHG Protocol. Estabelecer metas claras de redução de emissões, implementar um programa estruturado de descarbonização e integrar ações de eficiência energética e redução de impactos climáticos às estratégias da organização. Considerar também investir em soluções baseadas na natureza, como restauração e conservação de florestas, bem como adquirir créditos de carbono de alta integridade para compensar emissões residuais. Essas ações fortalecem a gestão climática e contribuem para a transição para uma economia de baixo carbono."
,4,Realizamos o nosso Inventário de Emissão de Gases de Efeito Estufa e possuímos metas de redução.,"*
abre a 2.1.A",,4,,,"Realizar o inventário de emissões de gases de efeito estufa é um ponto forte da gestão ambiental da organização, pois demonstra compromisso com a transparência, o monitoramento de impactos climáticos e a melhoria contínua do desempenho ambiental. Ao quantificar suas emissões, a empresa passa a compreender melhor sua pegada de carbono, podendo identificar oportunidades de redução, estabelecer metas climáticas e implementar ações mais eficientes rumo a uma economia de baixo carbono.",,"Manter o inventário de emissões de gases de efeito estufa atualizado e alinhado a metodologias reconhecidas, como o GHG Protocol. Estabelecer metas claras de redução de emissões, implementar um programa estruturado de descarbonização e integrar ações de eficiência energética e redução de impactos climáticos às estratégias da organização. Considerar também investir em soluções baseadas na natureza, como restauração e conservação de florestas, bem como adquirir créditos de carbono de alta integridade para compensar emissões residuais. Essas ações fortalecem a gestão climática e contribuem para a transição para uma economia de baixo carbono."
,5,"Realizamos o nosso Inventário de Emissão de Gases de Efeito Estufa, possuímos metas estabelecidas, existe o investimento na descarbonização das atividades e batemos nossas metas no último ano.","*
abre a 2.1.A",,5,,,"Realizar o inventário de emissões de gases de efeito estufa é um ponto forte da gestão ambiental da organização, pois demonstra compromisso com a transparência, o monitoramento de impactos climáticos e a melhoria contínua do desempenho ambiental. Ao quantificar suas emissões, a empresa passa a compreender melhor sua pegada de carbono, podendo identificar oportunidades de redução, estabelecer metas climáticas e implementar ações mais eficientes rumo a uma economia de baixo carbono.",,"Manter o inventário de emissões de gases de efeito estufa atualizado e alinhado a metodologias reconhecidas, como o GHG Protocol. Estabelecer metas claras de redução de emissões, implementar um programa estruturado de descarbonização e integrar ações de eficiência energética e redução de impactos climáticos às estratégias da organização. Considerar também investir em soluções baseadas na natureza, como restauração e conservação de florestas, bem como adquirir créditos de carbono de alta integridade para compensar emissões residuais. Essas ações fortalecem a gestão climática e contribuem para a transição para uma economia de baixo carbono."
,2.1.A,Forneça os dados relativos aos seu  Inventário de Emissão de Gases de Efeito Estufa (GEE),,,,,,,,
,,Emissões do ESCOPO 1,,,,,Emissões do ESCOPO 1,,,
,,[caixa de texto pequena],,,,,[caixa de texto pequena]					Ton CO2e,,,
,,não se aplica,,,,,,,,
,,Emissões do ESCOPO 2,,,,,Emissões do ESCOPO 2,,,
,,[caixa de texto pequena],,,,,[caixa de texto pequena]					Ton CO2e,,,
,,não se aplica,,,,,,,,
,,Emissões do ESCOPO 3,,,,,Emissões do ESCOPO 3,,,
,,[caixa de texto pequena],,,,,[caixa de texto pequena]					 Ton CO2e,,,
,,não se aplica,,,,,,,,
,2.1.B,Já deixamos de emitir,,,,,Já deixamos de emitir                        ,,,
,,[caixa de texto pequena]   ,,,,,[caixa de texto pequena]  Ton CO2e,,,
,,não se aplica,,,,,,,,
,2.1.B,Já compensamos,,,,,Já compensamos,,,
,,[caixa de texto pequena],,,,,,,,
,,não se aplica,,,,,[caixa de texto pequena]					Ton CO2e,,,
Água e efluentes,3.1,Como é a gestão de água e efluentes?,,,,"Conhecer, monitorar e reportar o consumo de água e a geração de efluentes permite que as empresas compreendam melhor seus impactos sobre os recursos hídricos, identifiquem oportunidades de eficiência no uso da água e reduzam riscos ambientais e operacionais. A gestão adequada desses indicadores contribui para a preservação dos recursos naturais, para o cumprimento das exigências regulatórias e para o fortalecimento de práticas empresariais alinhadas aos princípios de sustentabilidade e aos padrões ESG.",Água e efluentes,,,
,1,Não monitoramos ainda.,"*
não abre 2.2.A",,1,,,,Ausência de monitoramento do consumo de água. ,"Implementar o monitoramento básico do consumo de água na empresa, utilizando contas de abastecimento, hidrômetros ou estimativas de consumo. O primeiro passo é compreender o volume utilizado para identificar oportunidades de redução."
,2,"Monitoramos, mas não estabelecemos metas de redução.","*
abre a 2.2.A",,2,,,,Não possuir metas claras em relação ao consumo de água,"Implementar o monitoramento setorial do consumo de água, instalando hidrômetros ou controles internos em áreas estratégicas da operação, permitindo uma gestão mais eficiente do recurso."
,3,"
A empresa monitora o consumo de água e efluentes.","*
abre a 3.1.A",,3,,,"A organização monitora o consumo de água em suas operações, permitindo acompanhar indicadores de eficiência hídrica e apoiar a tomada de decisão baseada em dados.",Não possuir metas claras em relação ao consumo de água,
,4,Tem reduzido o seu consumo através da busca por metas de redução no último ano.,"*
abre a 3.1.A e B",,4,,,"A empresa monitora o consumo de água e implementa ações de eficiência hídrica, contribuindo para a redução de impactos ambientais e para o uso responsável dos recursos naturais.",,
,5,A empresa passou por uma transição e mais de 50% do consumo atual de água é proveniente de fontes ecoeficientes.,"*
abre a 3.1.A, B e C",,5,,,Utilizar fontes diversas e mais sustentáveis para o fornecimento de água.,,
,3.1.A,Consumo de água em litros no último ano fiscal?,,,,,Consumo de água e efluentes,,,
,,[caixa de numeros] litros,,,,,[caixa de numeros] litros,,,
,3.1.B,Qual a sua meta de redução em %,,,,,,,,
,,[caixa de numeros] %,,,,,[caixa de numeros] %,,,
Gestão Energética,3.1,Como a empresa gerencia o consumo de energia?,,,,Empresas que monitoram seus indicadores hídricos demonstram maior maturidade em sustentabilidade e capacidade de tomar decisões baseadas em dados para proteger um recurso cada vez mais estratégico para a economia e para o planeta.,Gestão Energética,,,
,a,Não monitoramos.,"*
Não abre a 3.1.A",,1,,,,Ausência de monitoramento dos indicadores de energia,"Iniciar o monitoramento do consumo de energia a partir das contas de eletricidade ou registros internos, criando uma base de dados para gestão energética."
