TEMA,,PERGUNTA,PONTUAÇÃO,PESO,POR QUE ISSO É IMPORTANTE?,RELATÓRIO DE IMPACTO,DESTAQUES,,
,,,,,,,PONTOS FORTES,PONTOS FRACOS,RECOMENDAÇÕES
Relações comunitárias,6.1,Como é a relação da sua empresa com a comunidade local?,,,"A relação com a comunidade local é um elemento fundamental da responsabilidade social das empresas. Organizações que mantêm diálogo transparente, contribuem para o desenvolvimento local e consideram os impactos de suas atividades sobre o território fortalecem sua legitimidade social, reduzem riscos reputacionais e ampliam seu potencial de gerar valor compartilhado.",Relações comunitárias,,,
,a,A empresa não possui relacionamento estruturado com a comunidade local,1,,,,,"A ausência de relacionamento com a comunidade local pode gerar distanciamento entre a empresa e o território onde atua, dificultando a identificação de impactos sociais e oportunidades de contribuição para o desenvolvimento local.","Iniciar o diálogo com a comunidade local, identificando os principais grupos de interesse e avaliando oportunidades de aproximação e colaboração."
,b,Participamos de eventos e fazemos contribuições pontuais.,2,,,,,"Embora existam interações com a comunidade, essas iniciativas ainda ocorrem de forma pontual e não estruturada, o que limita a continuidade e o impacto das ações realizadas.","Estruturar ações de relacionamento comunitário, identificando prioridades do território e estabelecendo iniciativas de impacto social mais consistentes."
,c,Participamos dos eventos e fazemos doações periódicas.,3,,,,"A empresa mantém relacionamento ativo com a comunidade local, participando de iniciativas e contribuindo para o fortalecimento do território onde atua.",,Formalizar programas de relacionamento com a comunidade e monitorar os impactos sociais gerados pelas iniciativas realizadas.
,d,Possuímos metas e projetos estratégicos que envolvem a comunidade local.,4,,,Possuímos metas e projetos estratégicos que envolvem a comunidade local.,"A empresa desenvolve programas estruturados de relacionamento comunitário e investimento social, contribuindo para o desenvolvimento local e fortalecendo vínculos com o território.",,Ampliar a mensuração dos resultados e impactos das iniciativas sociais desenvolvidas na comunidade.
,e,"A comunidade em que estamos inseridos tem participação ativa no cotidiano da empresa, através de politicas de contratação e projetos de desenvolvimento social.",5,,,"A comunidade em que estamos inseridos tem participação ativa no cotidiano da empresa, através de politicas de contratação e projetos de desenvolvimento social.","A empresa integra o relacionamento com a comunidade em sua estratégia de sustentabilidade, promovendo parcerias e iniciativas que contribuem para o desenvolvimento socioeconômico do território.",,"Manter e ampliar as estratégias de impacto social, fortalecendo parcerias com organizações locais, instituições públicas e iniciativas comunitárias."
,f,não se aplica,,,,,,,
Cadeia de fornecimento,7.1,Como é feita a gestão da sua cadeia de fornecimento? ,,,,,,,
,a,Não realizamos a gestão da nossa rede de fornecedores.,1,,"A cadeia de fornecedores é um elemento fundamental para a gestão responsável das empresas. Muitas vezes, impactos socioambientais relevantes ocorrem fora das operações diretas da organização, ao longo da cadeia de valor.  Empresas que estabelecem critérios de responsabilidade socioambiental para seus fornecedores fortalecem sua governança, reduzem riscos reputacionais e contribuem para a promoção de práticas empresariais mais éticas e sustentáveis em toda a cadeia produtiva.",,,"A empresa ainda não considera os riscos relacionados a violações de direitos humanos em sua cadeia de valor, o que pode expor a organização a riscos reputacionais, legais e operacionais. Questões como trabalho infantil, trabalho análogo à escravidão, discriminação ou condições inadequadas de trabalho podem ocorrer ao longo da cadeia produtiva sem que sejam identificadas ou prevenidas.","Iniciar o mapeamento dos principais riscos socioambientais na cadeia de valor, identificando fornecedores e atividades que possam estar associados a violações de direitos humanos e estabelecendo critérios mínimos de responsabilidade socioambiental para contratação."
,b,Nossos fornecedores passam por rigoroso processo de solicitação e diligência dos documentos legais,2,,,,,"Embora a empresa já reconheça os riscos socioambientais em sua cadeia de valor, a ausência de mecanismos de monitoramento ou verificação limita a eficácia das medidas preventivas e pode permitir que práticas inadequadas ocorram sem identificação.","Estabelecer mecanismos de monitoramento e verificação das práticas adotadas por fornecedores e parceiros, incluindo critérios socioambientais em processos de contratação e avaliação de desempenho."
,c,"Temos procedimentos para selecionar fornecedores por critérios financeiros, mas podemos usar questões sociais ou ambientais para desempate. (exemplo)",3,,,,"A empresa monitora e fiscaliza seus fornecedores e parceiros, demonstrando compromisso com a prevenção de violações de direitos humanos e com a promoção de práticas responsáveis em sua cadeia de valor.",,Formalizar diretrizes ou políticas corporativas relacionadas à prevenção de violações de direitos humanos e estabelecer indicadores para monitorar o desempenho socioambiental da cadeia de valor.
,d,Possuimos um procedimento de contratação que avalia o impacto socioambiental dos fornecedores.,4,,,,"A empresa exige transparência e prestação de contas de seus fornecedores e contratadas em relação à prevenção de violações de direitos humanos, fortalecendo a governança e a responsabilidade socioambiental ao longo da cadeia de valor.",,"Manter e aprimorar os mecanismos de reporte e auditoria socioambiental, integrando essas práticas às políticas corporativas e aos processos de gestão de fornecedores."
,e,"Buscamos trabalhar com fornecedores verificados e atuamos de forma proativa na verificação dos impactos socioambientais dos nossos fornecedores, pelo menos os mais significativos.",5,,,,"A empresa possui normas formais e mecanismos estruturados para gestão de riscos socioambientais em sua cadeia de valor, demonstrando elevado nível de maturidade na prevenção de violações de direitos humanos e na promoção de práticas empresariais responsáveis.",,"Manter e fortalecer a implementação das normas existentes, ampliando a capacitação de fornecedores, promovendo transparência e integrando essas práticas às estratégias de sustentabilidade e governança da empresa."
,f,não se aplica,,,,,,,
Direiros Humanos,8.1,De que forma a empresa previne violações aos direitos humanos em suas operações?,,,,Direiros Humanos,,,
,a,Não temos qualquer iniciativa para garantir o respeito aos direitos humanos em nossa organização.,1,,"Os impactos relativos à violação de direitos humanos são o maior risco reputacional para uma empresa, na prática estamos falando de medidas como prevenção ao trabalho análogo à escravidão e ao trabalho infantil. As medidas positivas podem ser a contratação de imigrantes ou o apoio à alguma organização que o faça. ",,,,
,b,Trabalhamos as questões relativas aos direitos humanos apenas verbalmente.,2,,,,,,
,c,"Possuímos o procedimento de instruir colaboradores e fornecedores sobre a importância em se combater o trabalho infantil, o trabalho análogo à escravidão e qualquer outra violação.",3,,,"Possuímos o procedimento de instruir colaboradores e fornecedores sobre a importância em se combater o trabalho infantil, o trabalho análogo à escravidão e qualquer outra violação.",,,
